mobile,username,role,action,lat,lon,timestamp,km_travelled,collection_amount,customer_name,product,ptp_date,pt_date,ptp_feedback
,staff1,staff,punch_in,10.83296155,78.68482882,2025-09-11 17:18:00,0.0,0.0,,,,,
,staff1,staff,punch_in,10.83296155,78.68482882,,0.0,0.0,,,,,
,staff1,staff,clock_in,10.83296155,78.68482882,,0.0,0.0,,,,,
,staff1,staff,clock_in,10.83296155,78.68482882,,0.0,0.0,,,,,
,staff1,staff,clock_out,10.83296155,78.68482882,,0.0,0.0,,,,,
,surya,staff,punch_in,10.83296155,78.68482882,,0.0,0.0,,,,,
,surya,staff,punch_in,10.83296155,78.68482882,2025-09-11 00:26:54,0.0,0.0,,,,,
,surya,staff,clock_in,10.83296155,78.68482882,2025-09-11 00:36:00,0.0,15000.0,,,,,
,surya,staff,clock_in,10.83296155,78.68482882,2025-09-11 00:45:06,0.0,20000.0,,,,,
,surya,staff,clock_in,10.83296155,78.68482882,2025-09-11 01:08:06,0.0,25000.0,,,,,
,surya,staff,clock_out,10.83296155,78.68482882,2025-09-11 01:10:24,0.0,0.0,,,,,
,surya,staff,punch_in,10.83296155,78.68482882,2025-09-11 04:37:54,0.0,0.0,,,,,
,surya,staff,clock_in,10.83296155,78.68482882,2025-09-11 04:40:36,0.0,15000.0,surya,ml,,,
,staff1,staff,punch_in,0.0,0.0,,,,,,,,
,staff1,staff,clock_in,11.2915,78.9061,,,,,,,,
,staff1,staff,punch_in,11.2915,78.9061,,,,,,,,
,staff1,staff,clock_in,11.2915,78.9061,,,,,,,,
,staff1,staff,clock_out,11.2915,78.9061,,,,,,,,
,staff2,staff,punch_in,11.2915,78.9061,,0.0,0.0,,,,,
,staff2,staff,clock_in,11.2915,78.9061,,0.0,1323.0,swds,dads,,,
,surya,staff,punch_in,11.2915,78.9061,2025-09-11 19:32:00,56.1887886,0.0,,,,,
,surya,staff,clock_in,11.2915,78.9061,2025-09-11 19:37:54,0.0,0.0,,,,,
,surya,staff,clock_out,11.2915,78.9061,2025-09-11 20:37:54,0.0,0.0,,,,,
,staff2,staff,punch_in,,,2025-09-11 20:55:00,8807.167326,0.0,,,,,
,surya,staff,punch_in,11.2915,78.9061,2025-09-11 22:32:18,0.0,0.0,,,,,
,staff2,staff,punch_in,,,,0.0,0.0,,,,,
,staff2,staff,clock_in,11.2915,78.9061,,0.0,0.0,,,,,
,admin,staff,punch_in,10.83293795,78.6848499,2025-09-11 09:48:15,0.0,0.0,,,,,
,admin,staff,clock_in,10.83293795,78.6848499,2025-09-11 09:48:22,0.0,0.0,,,,,
,admin,staff,clock_out,10.83293795,78.6848499,2025-09-11 09:48:25,0.0,0.0,,,,,
,,staff,punch_in,,,2025-09-11 09:48:49,0.0,0.0,,,,,
,,staff,clock_in,10.83295861,78.68482649,2025-09-11 09:48:52,0.0,0.0,,,,,
,,staff,punch_in,10.83295861,78.68482649,2025-09-11 09:48:54,0.0,0.0,,,,,
,,staff,punch_in,10.83295861,78.68482649,2025-09-11 09:48:55,0.0,0.0,,,,,
,staff,staff,punch_in,10.83295861,78.68482649,2025-08-26 10:09:00,0.0,0.0,,,,,
,staff,staff,clock_in,10.83295861,78.68482649,2025-08-26 10:10:00,1.98e-13,150000.0,sdsa,gl,,,
,staff,staff,clock_out,10.83295861,78.68482649,2025-08-26 10:10:00,1.98e-13,0.0,,,,,
,staff5,staff,punch_in,10.83292017,78.68483798,2025-08-26 11:13:00,0.0,0.0,,,,,
,staff3,staff,punch_in,10.83292017,78.68483798,2025-08-26 12:05:00,0.0,0.0,,,,,
,staff4,staff,punch_in,10.83277482,78.68482603,2025-08-26 12:06:00,0.0,0.0,,,,,
,staff5,staff,punch_in,10.83292286,78.68481984,2025-08-26 18:33:00,0.0,0.0,,,,,
,staff5,staff,clock_in,10.83292286,78.68481984,2025-08-26 18:33:00,0.0,1500.0,dfgsdd,fdfds,,,
9876543210.0,staff1,staff,punch_in,10.8329604,78.68486242,2025-11-09 13:03:00,0.0,0.0,,,,,
9876543210.0,staff1,staff,clock_in,10.8329604,78.68486242,2025-11-09 13:03:00,0.0,1500.0,surya,ml,13-09-2025,,
,staff5,staff,punch_in,10.83295104,78.68484716,2025-11-09 14:37:00,0.0,0.0,,,,,
9876543210.0,,staff,punch_in,10.83291005,78.68483618,2025-11-09 14:46:00,0.0,0.0,,,,,
9876543210.0,,staff,clock_in,10.83291005,78.68483618,2025-11-09 14:47:00,0.0,1500.0,surya,ml,,,
9876543210.0,,staff,clock_in,10.83291005,78.68483618,2025-11-09 14:47:00,0.0,1500.0,surya,ml,,,
9876543210.0,,staff,clock_in,10.83291005,78.68483618,2025-11-09 14:47:00,0.0,1500.0,surya,ml,,,
9876543210.0,,staff,punch_in,10.832910047607529,78.68483617631198,2025-09-11 14:54:56,0.0,0.0,,,,,
9876543210.0,,staff,clock_in,10.832910047607529,78.68483617631198,2025-09-11 14:55:04,0.0,52.0,sds,sdfsf,,,
9876543210.0,,staff,clock_out,10.832910047607529,78.68483617631198,2025-09-11 14:55:14,0.0,0.0,,,,,
9876543211.0,,staff,punch_in,10.832910047607529,78.68483617631198,2025-09-11 14:59:33,0.0,0.0,,,,,
9876543211.0,,staff,clock_in,10.832910047607529,78.68483617631198,2025-09-11 14:59:47,0.0,900.0,sadsddfd,bl,,,
9876543211.0,,staff,clock_in,10.832910047607529,78.68483617631198,2025-09-11 14:59:50,0.0,900.0,sadsddfd,bl,,,
9876543210.0,,staff,punch_in,10.832910047607529,78.68483617631198,2025-09-11 15:03:21,0.0,0.0,,,,,
9876543211.0,,staff,punch_in,10.832910047607529,78.68483617631198,2025-09-11 15:04:07,0.0,0.0,,,,,
9876543210.0,,staff,punch_in,10.832910047607529,78.68483617631198,2025-09-11 15:22:22,0.0,0.0,,,,,
9876543210.0,,staff,clock_in,10.832910047607529,78.68483617631198,2025-09-11 15:22:31,0.0,0.0,sa,,,,
9876543210.0,,staff,clock_in,10.832910047607529,78.68483617631198,2025-09-11 15:22:33,0.0,0.0,sa,,,,
9876543210.0,,staff,clock_out,10.832910047607529,78.68483617631198,2025-09-11 15:22:38,0.0,0.0,,,,,
9876543210.0,,staff,punch_in,10.832951039141646,78.68484716048535,2025-09-11 15:50:12,0.0,0.0,,,,,
9876543210.0,,staff,clock_in,10.832951039141646,78.68484716048535,2025-09-11 15:50:22,0.0,150.0,ds,ds,,,
9876543210.0,,staff,clock_out,10.832951039141646,78.68484716048535,2025-09-11 15:50:25,0.0,0.0,,,,,
,staff5,staff,punch_in,10.832951039141646,78.68484716048535,2025-09-11 15:52:47,0.0,0.0,,,,,
,staff5,staff,clock_in,10.832951039141646,78.68484716048535,2025-09-11 15:52:59,0.0,1500.0,sf,sf,,,
,staff5,staff,clock_out,10.832951039141646,78.68484716048535,2025-09-11 15:53:05,0.0,0.0,,,,,
,8760098358,staff,punch_in,,,2025-09-11 15:53:19,0.0,0.0,,,,,
,9876543210,staff,punch_in,10.832951039141646,78.68484716048535,2025-09-11 15:54:24,0.0,0.0,,,,,
,9876543210,staff,clock_in,10.832951039141646,78.68484716048535,2025-09-11 15:54:43,0.0,0.0,d,fgd,,,
,9876543210,staff,clock_out,10.832951039141646,78.68484716048535,2025-09-11 15:54:49,0.0,0.0,,,,,
,9876543211,staff,punch_in,10.832951039141646,78.68484716048535,2025-09-11 15:55:33,0.0,0.0,,,,,
,9876543211,staff,clock_in,10.832951039141646,78.68484716048535,2025-09-11 15:55:42,0.0,2500.0,sads,dfdf,,,
,9876543211,staff,clock_in,10.832951039141646,78.68484716048535,2025-09-11 15:55:42,0.0,2500.0,sads,dfdf,,,
,9876543210,staff,punch_in,10.832951039141644,78.68484716048532,2025-09-11 17:31:50,0.0,0.0,,,,,
,9876543210,staff,clock_in,10.832951039141644,78.68484716048532,2025-09-11 17:32:43,0.0,15000.0,sds,dfd,,2025-09-15,wil pay on 15th
,9876543210,staff,punch_in,10.832951039141644,78.68484716048532,2025-09-11 17:58:42,0.0,0.0,,,,,
,9876543210,staff,clock_in,10.832951039141644,78.68484716048532,2025-09-11 17:59:03,0.0,1500.0,nimalan,gl,,2025-09-13,
,9876543210,staff,punch_in,10.832948703049867,78.68477326635761,2025-09-12 10:09:27,0.0,0.0,,,,,
